"reference","lng","lat""orders"
pup2377,18.1548889,-32.771077,386
pup760,30.999027,-29.849039,5769
pup1076,28.2799688,-25.7858177,2360
pup4590,27.994723,-25.607371,16
pup4121,29.944818,-27.777255,11
pup891,29.935983,-27.742548,2786
pup519,18.62823,-33.90093,2892
pup1452,28.2756198,-25.7837542,1784
pup1323,27.8668097,-26.2123426,69
pup4370,27.7695204,-26.1034485,18
pup697,28.241146,-25.677659,1146
pup1422,18.421769,-33.9206796,934
pup3821,27.8205015,-26.7099215,143
pup3957,29.2625241,-25.8867391,103
pup29,18.84138,-34.08895,940
pup983,27.985099,-26.094231,2329
pup1824,27.3724932,-30.5282966,77
pup660,28.250861,-25.679965,3915
pup3298,18.4599073,-34.0602361,149
pup1624,28.0433032,-26.2013743,1517
pup3588,28.0048464,-26.0195401,393
pup2317,26.7117528,-29.2030021,2115
pup1313,27.3975962,-26.3537433,66
pup4425,28.242717,-26.093004,31
pup3694,30.9658147,-25.4368166,128
pup4234,27.8818544,-26.5366231,225
pup4176,24.7639031,-28.7650584,324
pup2778,22.5038621,-33.9870755,828
pup89,25.643082,-33.82205,503
pup396,22.0978218,-34.1496413,288
pup3852,27.2369534,-25.6881138,29
pup3101,27.9805042,-26.2662319,949
pup1110,18.4215856,-33.9023831,1210
pup2540,28.1072838,-26.0140003,612
pup4695,18.5281687,-34.0545956,63
pup1935,28.1136,-25.8754,1829
pup1514,28.250417,-25.8616985,965
pup1121,18.5118291,-33.8926,815
pup392,25.979298,-27.208327,357
pup236,29.882774,-27.369061,264
pup3529,31.2009365,-29.5266291,368
pup3199,18.4183403,-33.9036255,532
pup3131,29.4739856,-24.3105942,2083
pup908,28.182937,-25.699737,1682
pup355,28.010183,-26.203978,471
pup2578,29.4621279,-26.4551007,20
pup4460,28.170795,-26.2259,38
pup3911,30.998537,-25.3361477,192
pup1845,28.305763,-32.0969095,171
pup3954,18.4441686,-34.029229,522
pup3528,23.6979091,-33.9619185,21
pup441,26.241147,-29.145045,174
pup3158,28.4463934,-25.5324566,106
pup664,29.396007,-25.166562,1426
pup540,18.586472,-34.04236,6394
pup3137,29.507272,-23.8740872,691
pup2731,27.9737673,-26.1312302,493
pup876,30.968395,-29.923675,3576
pup1218,19.0143543,-32.5966158,1281
pup4139,18.4722769,-33.7825974,4
pup705,26.865301,-28.108667,1929
pup1882,20.9180157,-31.3412713,207
pup960,29.473043,-23.893399,2615
pup4701,24.588133,-29.026873,3
pup273,27.389452,-32.874917,1186
pup3975,18.8208742,-34.0818357,115
pup4676,30.16854,-27.931407,1
pup4220,30.5178446,-23.1173208,30
pup2297,28.8037122,-28.533602,1273
pup800,28.847732,-28.483287,3420
pup1457,30.9367128,-29.8481343,1182
pup725,28.107702,-26.309842,4033
pup3992,30.698756,-22.997683,295
pup1808,28.4097831,-26.1347638,20
pup2597,27.1653174,-25.1643604,46
pup1967,28.262554,-26.212666,781
pup2306,30.4631435,-22.983795,1686
pup1956,27.903952,-32.984368,1413
pup989,29.123296,-28.271484,1762
pup4137,30.462536,-22.983874,29
pup4492,26.672525,-33.683367,90
pup1088,26.80904,-27.964577,3021
pup742,28.323764,-26.162117,2239
pup1018,25.56278,-33.885173,5350
pup4512,30.3686099,-22.9540109,2
pup2335,29.7811474,-28.5586724,1714
pup649,28.204302,-25.745143,1825
pup3069,28.3686453,-26.4941583,1710
pup3760,30.8792123,-29.9129963,2113
pup2581,31.2001932,-24.7278717,194
pup4396,30.4549326,-22.9739011,49
pup1428,18.8239156,-34.081063,2189
pup2779,28.0313208,-26.1248942,319
pup3832,23.9711667,-33.9826111,35
pup667,28.235224,-25.771819,3663
pup2111,28.276191,-25.782677,1080
pup3884,22.5015376,-33.9868159,42
pup4051,28.15006,-32.32951,3
pup774,27.848042,-26.286316,3781
pup2695,18.6081397,-34.0195493,1921
pup4174,27.89671,-32.9702662,176
pup90,25.657388,-33.980998,1321
pup4073,28.333215,-25.71526,10
pup3683,28.0056668,-26.0208103,598
pup4593,28.082908,-25.547622,2
pup1449,30.3777723,-29.583354,1162
pup1841,27.920264,-27.8796353,77
pup4231,26.6263691,-25.4929109,59
pup4488,25.511823,-33.971868,15
pup1156,19.4368424,-34.2246943,324
pup3161,27.1682332,-25.1635953,1009
pup2368,28.9417,-25.3122,2068
pup564,27.780271,-25.635501,5134
pup2298,30.4090718,-30.8114139,1970
pup1248,25.9185705,-29.7251606,24
pup3119,31.0231402,-29.8582365,1608
pup3129,31.0017736,-29.9243674,2623
pup3765,26.2022889,-28.8907083,261
pup2730,25.5559976,-33.9801655,1279
pup3656,26.218626,-29.1165035,439
pup2433,29.77987,-28.56093,271
pup2360,27.9010962,-26.25825,576
pup3114,28.8246812,-30.3449221,1122
pup2590,28.9408871,-25.3124399,287
pup4036,21.247328,-28.457861,8
pup3612,28.1606249,-26.2117166,124
pup750,28.022719,-26.114891,2508
pup3686,18.6941705,-33.9483049,14
pup1947,18.6352524,-33.8749221,2963
pup726,28.278965,-26.246103,4816
pup349,21.152337,-29.347824,294
pup3086,28.1917774,-26.0376665,665
pup1868,18.6786159,-33.9249889,231
pup2233,29.3977926,-25.1663669,1490
pup2240,27.85765,-26.2508702,2251
pup2548,31.5133206,-25.4922859,172
pup3672,30.8921871,-30.0343198,460
pup384,23.948418,-31.411468,441
pup107,30.889137,-29.957263,1376
pup1068,30.76292,-29.77901,482
pup4409,17.9912787,-32.9069317,25
pup1453,18.6162965,-34.0403959,3790
pup4047,31.020992,-29.841887,435
pup2019,28.0577478,-26.3146114,790
pup3799,29.5098222,-23.872543,30
pup526,18.696036,-33.95006,9126
pup704,28.3172,-28.2308,3528
pup1705,18.8233993,-34.0821862,315
pup4326,30.6955773,-23.3142799,137
pup318,24.849497,-28.110394,326
pup4395,27.743099,-23.669719,14
pup3939,18.4159635,-33.9162623,231
pup3102,28.2485037,-25.6810762,707
pup2817,31.2015413,-29.5263503,256
pup4457,27.773388,-25.636888,17
pup1757,24.8040021,-27.7540319,568
pup1993,26.704101,-26.849615,943
pup2214,24.7649882,-28.76543,926
pup1829,26.4080326,-33.653681,74
pup1177,18.5488182,-33.912144,742
pup2227,22.4578539,-33.9592667,1448
pup3190,18.6277352,-33.9036774,580
pup3428,26.1776412,-29.1310092,139
pup4302,18.4189807,-33.9031989,74
pup4497,30.2108833,-26.2808231,21
pup280,25.583386,-32.717789,2734
pup4235,31.232958,-24.7393462,100
pup4259,29.1803974,-26.5108281,307
pup2542,30.2717595,-29.868716,577
pup1731,30.9672366,-25.4380803,242
pup4809,30.8660326,-29.8154594,50
pup454,28.16199,-26.339187,532
pup1114,18.8403063,-33.9767228,563
pup3107,28.4608684,-26.2609642,2297
pup2501,24.77437,-27.52781,298
pup3906,18.4867605,-33.8225579,162
pup2870,29.28781509,-23.78521347,135
pup1812,18.6672177,-33.1457046,236
pup631,28.117488,-26.179437,3671
pup558,18.3966401,-33.9077082,1838
pup702,26.740083,-27.984451,3137
pup1759,30.6732754,-30.3079079,968
pup4647,28.0199539,-26.0633659,146
pup569,27.802218,-25.650367,5594
pup3144,29.1817522,-26.5098735,1248
pup491,20.446166,-34.019764,2542
pup334,30.5877,-29.062588,4005
pup1427,18.6351096,-33.8734084,5212
pup761,28.164977,-25.876631,4132
